db_type,chart_type,text_level,chart_quantity,img_index,mem,int,tru,emp,sur,aes
Rand5_QPromptV1,pie,msg,single,1,5,4,5,3,4,4
Rand5_QPromptV1,pie,msg,single,1,3,3,4,4,3,3
Rand5_QPromptV1,pie,msg,single,1,3,4,4,5,3,3
Rand5_QPromptV1,pie,msg,single,1,4,5,5,4,4,4
Rand5_QPromptV1,pie,msg,single,1,3,3,4,3,3,4
Rand5_QPromptV1,pie,msg,single,2,3,4,5,3,3,4
Rand5_QPromptV1,pie,msg,single,2,4,3,5,4,2,3
Rand5_QPromptV1,pie,msg,single,2,3,3,4,4,3,3
Rand5_QPromptV1,pie,msg,single,2,4,4,5,3,4,4
Rand5_QPromptV1,pie,msg,single,2,5,5,5,5,4,4
Rand5_QPromptV1,pie,msg,single,3,3,4,4,1,4,3
Rand5_QPromptV1,pie,msg,single,3,5,3,5,3,3,2
Rand5_QPromptV1,pie,msg,single,3,3,2,4,2,2,3
Rand5_QPromptV1,pie,msg,single,3,4,4,4,2,4,3
Rand5_QPromptV1,pie,msg,single,3,2,2,4,4,2,2
Rand5_QPromptV1,pie,msg,single,4,5,4,4,2,4,4
Rand5_QPromptV1,pie,msg,single,4,3,5,5,4,4,3
Rand5_QPromptV1,pie,msg,single,4,4,3,4,3,3,3
Rand5_QPromptV1,pie,msg,single,4,5,5,4,2,5,4
Rand5_QPromptV1,pie,msg,single,4,2,2,4,3,2,3
Rand5_QPromptV1,pie,msg,single,5,5,3,5,1,3,5
Rand5_QPromptV1,pie,msg,single,5,3,5,5,3,3,3
Rand5_QPromptV1,pie,msg,single,5,3,3,5,1,1,3
Rand5_QPromptV1,pie,msg,single,5,5,5,5,3,5,3
Rand5_QPromptV1,pie,msg,single,5,1,3,5,5,1,3
Rand5_QPromptV1,bar,msg,single,1,5,4,5,2,3,4
Rand5_QPromptV1,bar,msg,single,1,3,4,5,4,2,3
Rand5_QPromptV1,bar,msg,single,1,4,3,4,3,2,3
Rand5_QPromptV1,bar,msg,single,1,5,5,4,3,4,4
Rand5_QPromptV1,bar,msg,single,1,3,2,4,4,1,3
Rand5_QPromptV1,bar,msg,single,2,5,4,5,3,4,4
Rand5_QPromptV1,bar,msg,single,2,3,3,4,4,2,2
Rand5_QPromptV1,bar,msg,single,2,4,4,5,5,3,3
Rand5_QPromptV1,bar,msg,single,2,4,5,4,2,4,4
Rand5_QPromptV1,bar,msg,single,2,2,2,4,3,1,3
Rand5_QPromptV1,bar,msg,single,3,3,3,5,1,3,3
Rand5_QPromptV1,bar,msg,single,3,5,5,5,3,3,3
Rand5_QPromptV1,bar,msg,single,3,3,3,4,2,2,4
Rand5_QPromptV1,bar,msg,single,3,4,4,4,2,4,3
Rand5_QPromptV1,bar,msg,single,3,2,2,4,4,1,3
Rand5_QPromptV1,bar,msg,single,4,3,4,5,3,4,4
Rand5_QPromptV1,bar,msg,single,4,3,3,4,4,4,3
Rand5_QPromptV1,bar,msg,single,4,2,2,4,3,3,2
Rand5_QPromptV1,bar,msg,single,4,4,4,5,4,4,3
Rand5_QPromptV1,bar,msg,single,4,3,4,4,4,3,3
Rand5_QPromptV1,bar,msg,single,5,3,4,5,1,4,3
Rand5_QPromptV1,bar,msg,single,5,4,3,5,3,3,2
Rand5_QPromptV1,bar,msg,single,5,2,2,4,4,2,3
Rand5_QPromptV1,bar,msg,single,5,4,4,5,2,4,4
Rand5_QPromptV1,bar,msg,single,5,2,3,5,3,2,2
Rand5_QPromptV1,line,msg,single,1,5,4,5,2,4,4
Rand5_QPromptV1,line,msg,single,1,4,5,5,4,4,3
Rand5_QPromptV1,line,msg,single,1,3,4,4,5,3,3
Rand5_QPromptV1,line,msg,single,1,4,5,5,3,4,4
Rand5_QPromptV1,line,msg,single,1,3,3,4,2,2,4
Rand5_QPromptV1,line,msg,single,2,3,3,5,1,3,3
Rand5_QPromptV1,line,msg,single,2,5,5,5,3,5,3
Rand5_QPromptV1,line,msg,single,2,3,3,4,2,2,3
Rand5_QPromptV1,line,msg,single,2,4,4,5,2,4,4
Rand5_QPromptV1,line,msg,single,2,2,2,4,4,1,2
Rand5_QPromptV1,line,msg,single,3,3,3,5,1,3,3
Rand5_QPromptV1,line,msg,single,3,5,5,5,3,5,3
Rand5_QPromptV1,line,msg,single,3,3,3,3,3,3,3
Rand5_QPromptV1,line,msg,single,3,3,4,5,1,4,3
Rand5_QPromptV1,line,msg,single,3,1,3,5,5,3,1
Rand5_QPromptV1,line,msg,single,4,3,3,5,1,3,3
Rand5_QPromptV1,line,msg,single,4,5,3,5,3,3,3
Rand5_QPromptV1,line,msg,single,4,3,3,5,3,1,3
Rand5_QPromptV1,line,msg,single,4,3,5,5,1,5,3
Rand5_QPromptV1,line,msg,single,4,3,3,5,5,1,5
Rand5_QPromptV1,line,msg,single,5,3,3,5,1,3,3
Rand5_QPromptV1,line,msg,single,5,5,5,5,3,5,3
Rand5_QPromptV1,line,msg,single,5,3,3,5,3,3,3
Rand5_QPromptV1,line,msg,single,5,5,5,5,3,5,3
Rand5_QPromptV1,line,msg,single,5,3,3,5,5,3,3
Rand5_QPromptV1,pie,title,single,1,5,4,4,2,3,4
Rand5_QPromptV1,pie,title,single,1,3,3,4,3,2,3
Rand5_QPromptV1,pie,title,single,1,4,3,3,2,2,3
Rand5_QPromptV1,pie,title,single,1,4,4,4,3,4,4
Rand5_QPromptV1,pie,title,single,1,3,2,4,4,2,3
Rand5_QPromptV1,pie,title,single,2,5,4,5,1,3,4
Rand5_QPromptV1,pie,title,single,2,3,3,4,2,2,3
Rand5_QPromptV1,pie,title,single,2,2,2,4,1,1,3
Rand5_QPromptV1,pie,title,single,2,4,4,4,2,4,4
Rand5_QPromptV1,pie,title,single,2,2,2,4,3,1,3
Rand5_QPromptV1,pie,title,single,3,3,3,4,1,2,4
Rand5_QPromptV1,pie,title,single,3,4,4,5,2,3,3
Rand5_QPromptV1,pie,title,single,3,3,2,4,3,2,3
Rand5_QPromptV1,pie,title,single,3,4,4,4,2,4,3
Rand5_QPromptV1,pie,title,single,3,2,3,4,4,2,4
Rand5_QPromptV1,pie,title,single,4,5,4,4,2,3,4
Rand5_QPromptV1,pie,title,single,4,4,5,5,4,4,3
Rand5_QPromptV1,pie,title,single,4,3,3,4,3,3,3
Rand5_QPromptV1,pie,title,single,4,4,5,4,4,4,3
Rand5_QPromptV1,pie,title,single,4,3,4,4,3,3,4
Rand5_QPromptV1,pie,title,single,5,3,3,5,1,3,3
Rand5_QPromptV1,pie,title,single,5,5,3,5,3,3,3
Rand5_QPromptV1,pie,title,single,5,3,1,3,5,1,3
Rand5_QPromptV1,pie,title,single,5,3,5,3,1,5,3
Rand5_QPromptV1,pie,title,single,5,1,1,3,1,1,1
Rand5_QPromptV1,bar,title,single,1,3,4,5,1,3,4
Rand5_QPromptV1,bar,title,single,1,5,3,4,3,2,3
Rand5_QPromptV1,bar,title,single,1,3,2,4,2,2,3
Rand5_QPromptV1,bar,title,single,1,4,4,5,2,4,4
Rand5_QPromptV1,bar,title,single,1,2,2,4,4,1,2
Rand5_QPromptV1,bar,title,single,2,3,3,5,1,3,3
